Cheng et al. / DOI: 10.1029/1999GL008367,
Energy / nm,Absorption Cross-section / cm^2 per molecule
140.0200567,7.90E-19
140.8880793,8.01E-19
141.9651468,5.89E-19
142.8844484,5.89E-19
143.395585,5.73E-19
143.8043703,5.65E-19
144.1618765,5.65E-19
144.6211137,5.81E-19
145.0801442,6.06E-19
145.5393815,6.23E-19
145.9471329,6.59E-19
146.3548843,6.97E-19
146.6604911,7.38E-19
147.1701804,7.91E-19
147.7307352,8.60E-19
148.2404245,9.23E-19
148.8007725,1.02E-18
149.1574516,1.08E-18
149.6164821,1.12E-18
150.1768301,1.24E-18
150.7373849,1.35E-18
151.8584945,1.59E-18
152.6737906,1.81E-18
153.4895002,1.99E-18
154.2541375,2.20E-18
155.1209194,2.43E-18
156.1402979,2.79E-18
157.1605035,3.04E-18
157.9251408,3.35E-18
158.8434086,3.59E-18
159.8125419,3.91E-18
160.4758616,4.08E-18
161.4964808,4.31E-18
162.2619451,4.50E-18
162.823327,4.63E-18
163.5377191,4.83E-18
164.0480287,4.96E-18
164.5072659,5.11E-18
165.0690613,5.11E-18
165.63065,5.18E-18
166.0903008,5.18E-18
166.7033753,5.11E-18
167.0098092,5.11E-18
167.6226769,5.11E-18
168.1334001,5.11E-18
168.8994847,5.11E-18
169.4102078,5.11E-18
169.9215513,4.90E-18
170.3812021,4.90E-18
170.9944834,4.77E-18
171.4547545,4.57E-18
171.9663047,4.33E-18
172.6310718,4.09E-18
173.1939011,3.82E-18
173.8590818,3.51E-18
174.5240557,3.27E-18
175.2398951,3.10E-18
175.9561481,2.85E-18
176.4681119,2.62E-18
176.9802824,2.37E-18
177.5441455,2.06E-18
178.0569363,1.80E-18
178.5705542,1.48E-18
179.0324795,1.27E-18
179.443746,1.06E-18
179.8550125,8.80E-19
180.215,7.45E-19
180.5751942,6.21E-19
180.8836957,5.40E-19
181.1926108,4.57E-19
181.4502469,3.91E-19
181.7589552,3.36E-19
182.1706353,2.72E-19
182.6338012,2.15E-19
183.0454812,1.74E-19
183.3546031,1.45E-19
183.7662832,1.18E-19
184.2803146,9.41E-20
184.7953799,7.02E-20
185.5670474,4.81E-20
186.2878493,3.25E-20
186.9573722,2.23E-20
187.6256544,1.66E-20
188.4490145,1.09E-20
189.0662245,8.15E-21
189.6834344,6.08E-21
190.5568329,4.29E-21
191.2255287,3.11E-21
191.8936042,2.35E-21
192.7670027,1.66E-21
193.2810342,1.33E-21
193.7963063,9.75E-22
194.567767,6.78E-22
195.0817984,5.42E-22
195.8026003,3.66E-22
